id_cuadra,latitud,longitud
2,-37.327857,-59.136795
3,-37.327089,-59.138667
4,-37.326948,-59.136471
5,-37.327848,-59.134263
6,-37.326729,-59.133841
7,-37.325524,-59.134563
8,-37.324964,-59.136926
9,-37.326575,-59.137315
10,-37.325723,-59.137192
11,-37.326071,-59.135994
12,-37.329495,-59.136805
13,-37.328875,-59.139382
14,-37.328057,-59.135815
15,-37.327418,-59.135649
16,-37.325004,-59.133195
17,-37.328618,-59.134464
19,-37.325463,-59.138244
20,-37.328130,-59.137498
21,-37.329213,-59.136056
22,-37.328034,-59.132909
23,-37.330051,-59.138285
24,-37.327483,-59.131439
25,-37.326941,-59.129991
26,-37.329077,-59.133543
27,-37.326260,-59.132608
28,-37.325652,-59.131010
29,-37.327527,-59.139813
30,-37.324446,-59.131737
31,-37.326401,-59.140732
32,-37.325891,-59.139376
33,-37.324352,-59.135309
34,-37.323834,-59.133938
35,-37.323257,-59.132410
36,-37.323164,-59.135952
37,-37.322679,-59.134674
38,-37.322061,-59.133046
39,-37.329297,-59.138096
40,-37.325260,-59.141475
41,-37.324761,-59.140158
42,-37.324251,-59.138817
43,-37.323759,-59.137520
44,-37.328312,-59.132185
45,-37.326762,-59.133099
46,-37.325815,-59.133656
47,-37.324595,-59.134375
48,-37.323277,-59.135153
49,-37.322289,-59.135735
50,-38.726324,-62.267610
51,-37.327784,-59.139017
52,-37.326767,-59.139636
53,-37.325521,-59.140396
54,-37.324315,-59.141132
55,-37.329543,-59.139791
56,-37.327387,-59.137809
57,-37.325054,-59.139197
58,-37.323917,-59.139872
59,-37.326210,-59.138510
60,-37.330033,-59.136257
61,-37.330374,-59.137451
62,-37.324030,-59.136498
63,-37.322947,-59.137132
64,-37.329556,-59.134932
65,-37.324635,-59.137833
66,-37.323434,-59.138541
67,-37.331060,-59.138882
68,-37.328414,-59.140467
69,-37.327199,-59.141195
70,-37.325906,-59.141968
71,-37.324924,-59.142556
72,-37.330854,-59.136415
73,-37.330416,-59.135259
74,-37.329878,-59.133842
75,-37.3314599,-59.1380138
76,-37.329403,-59.132589
77,-37.3287565,-59.1308856
78,-37.3281823,-59.1293713
79,-37.3279408,-59.1306126
80,-37.3266583,-59.1313738
81,-37.3253697,-59.1321385
82,-37.3241733,-59.1328483
83,-37.3230881,-59.1334921
84,-37.321829,-59.134239
85,-37.323944,-59.142077
86,-37.323354,-59.140488
87,-37.323042,-59.139645
88,-37.322528,-59.138259
89,-37.322049,-59.136976
90,-37.321475,-59.135436
91,-37.320791,-59.133596
92,-37.321185,-59.118682
93,-37.324003,-59.142173
94,-37.323521,-59.140976
95,-37.323080,-59.139754
96,-37.322587,-59.138458
97,-37.321779,-59.136397
98,-37.321280,-59.135033
99,-37.320679,-59.133484
