id_cuadra,direccion
2,General Pinto 545
3,San Martín 452
4,Rodriguez 552
5,9 de Julio 441
6,General Pinto 759
7,San Martín 758
8,Sarmiento 641
9,San Martín 560
10,Rodriguez 654
11,San Martín 658
12,Belgrano 480
13,General Pinto 343
14,Rodriguez 464
15,General Pinto 631
16,San Martín 852
17,Belgrano 660
19,Sarmiento 543
20,General Pinto 490
21,Belgrano 540
22,Belgrano 768
23,Belgrano 364
24,Belgrano 868
25,Belgrano 958
26,9 de Julio 345
27,General Pinto 843
28,General Pinto 945
29,San Martín 364
30,San Martín 944
31,Sarmiento 351
32,Sarmiento 453
33,Sarmiento 755
34,Sarmiento 849
35,Sarmiento 945
36,Mitre 758
37,Mitre 846
38,Mitre 948
39,Chacabuco 442
40,Mitre 348
41,Mitre 446
42,Mitre 552
43,Mitre 648
44,Alem 362
45,Alem 480
46,Alem 556
47,Alem 658
48,Alem 770
49,Alem 852
50,Oficina SUMO
51,Chacabuco 562
52,Chacabuco 646
53,Chacabuco 752
54,Chacabuco 852
55,14 de Julio 467
56,Yrigoyen 557
57,Yrigoyen 753
58,Yrigoyen 847
59,Yrigoyen 655
60,Fuerte Independencia 349
61,Chacabuco 357
62,9 de Julio 753
63,9 de Julio 843
64,Rodriguez 348
65,Rodriguez 746
66,Rodriguez 846
67,14 de Julio 347
68,14 de Julio 557
69,14 de Julio 657
70,14 de Julio 767
71,14 de Julio 847
72,Maipu 453
73,Maipu 547
74,Maipu 653
75,Maipu 333
76,Maipu 741
77,Maipu 857
78,Maipu 953
79,General Paz 347
80,General Paz 447
81,General Paz 547
82,General Paz 647
83,General Paz 739
84,General Paz 845
85,Av. España 359
86,Av. España 481
87,Av. España 545
88,Av. España 647
89,Av. España 737
90,Av. España 843
91,Av. España 957
92,Tribunal de Faltas
93,Av. España 352
94,Av. España 436
95,Av. España 526
96,Av. España 624
97,Av. España 774
98,Av. España 864
99,Av. España 970
