id_cuadra,direccion,fecha,tiempo,ocupacion,lugares_cuadra,ocupacion_max,dispon_parq,altas_bajas(dia)
2,General Pinto 545,09-12-19,10:10:36,7,27,7,green,14
3,San Martín 452,09-12-19,10:10:26,8,19,8,green,8
4,Rodriguez 552,09-12-19,10:10:51,14,28,14,green,20
6,General Pinto 759,09-12-19,10:10:30,14,30,14,green,19
7,San Martín 758,09-12-19,10:12:31,4,28,4,green,9
11,San Martín 658,09-12-19,10:11:40,17,30,17,green,23
13,General Pinto 343,09-12-19,10:11:24,6,33,7,green,11
15,General Pinto 631,09-12-19,10:10:19,10,25,10,green,15
17,Belgrano 660,09-12-19,10:10:53,13,23,13,green,23
19,Sarmiento 543,09-12-19,10:12:31,7,22,7,green,13
21,Belgrano 540,09-12-19,10:12:26,14,29,14,green,34
22,Belgrano 768,09-12-19,10:10:25,5,35,5,green,8
23,Belgrano 364,09-12-19,10:10:08,1,17,3,green,12
25,Belgrano 958,09-12-19,10:10:27,2,13,2,green,6
26,9 de Julio 345,09-12-19,10:11:04,10,20,10,green,12
27,General Pinto 843,09-12-19,10:11:10,6,22,6,green,10
28,General Pinto 945,09-12-19,10:10:24,3,12,3,green,3
30,San Martín 944,09-12-19,10:10:24,8,24,8,green,13
33,Sarmiento 755,09-12-19,10:12:21,7,32,7,green,15
34,Sarmiento 849,09-12-19,10:12:29,7,24,8,green,15
36,Mitre 758,09-12-19,10:12:20,6,15,7,green,11
37,Mitre 846,09-12-19,10:10:13,4,20,4,green,14
38,Mitre 948,09-12-19,10:11:47,8,20,8,green,14
39,Chacabuco 442,09-12-19,10:10:19,8,25,8,green,22
41,Mitre 446,09-12-19,10:10:22,5,16,5,green,6
42,Mitre 552,09-12-19,10:10:20,7,19,7,green,15
44,Alem 362,09-12-19,10:11:00,7,26,7,green,17
50,Oficina SUMO,09-12-19,10:11:00,3,14,3,green,4
51,Chacabuco 562,09-12-19,10:12:07,5,21,5,green,12
53,Chacabuco 752,09-12-19,10:10:08,6,21,6,green,8
54,Chacabuco 852,09-12-19,10:10:41,3,23,3,green,3
55,14 de Julio 467,09-12-19,10:11:55,3,13,4,green,9
56,Yrigoyen 557,09-12-19,10:10:12,6,26,6,green,8
57,Yrigoyen 753,09-12-19,10:11:18,4,24,4,green,11
58,Yrigoyen 847,09-12-19,10:11:34,10,24,10,green,16
59,Yrigoyen 655,09-12-19,10:10:42,20,48,20,green,21
60,Fuerte Independencia 349,09-12-19,10:10:17,10,44,10,green,13
62,9 de Julio 753,09-12-19,10:10:29,7,21,7,green,16
63,9 de Julio 843,09-12-19,10:10:31,4,14,4,green,8
67,14 de Julio 347,09-12-19,10:11:08,5,20,6,green,15
69,14 de Julio 657,09-12-19,10:12:24,1,10,1,green,4
72,Maipu 453,09-12-19,10:12:01,4,33,4,green,7
73,Maipu 547,09-12-19,10:10:24,4,21,4,green,7
74,Maipu 653,09-12-19,10:10:23,8,20,8,green,11
75,Maipu 333,09-12-19,10:10:12,11,31,12,green,21
76,Maipu 741,09-12-19,10:11:49,6,24,6,green,15
80,General Paz 447,09-12-19,10:10:16,13,36,13,green,17
81,General Paz 547,09-12-19,10:12:31,3,17,3,green,5
82,General Paz 647,09-12-19,10:11:09,4,34,5,green,17
83,General Paz 739,09-12-19,10:10:33,3,18,3,green,9
84,General Paz 845,09-12-19,10:02:39,3,18,4,green,4
85,Av. España 359,09-12-19,10:10:24,0,7,2,green,4
86,Av. España 481,09-12-19,10:10:25,1,10,1,green,1
89,Av. España 737,09-12-19,10:10:29,5,19,5,green,9
91,Av. España 957,09-12-19,10:10:08,3,13,3,green,3
99,Av. España 970,09-12-19,10:10:23,4,,4,green,8
2,General Pinto 545,09-12-19,10:16:27,10,27,10,green,19
4,Rodriguez 552,09-12-19,10:16:22,16,28,16,green,23
5,9 de Julio 441,09-12-19,10:15:46,4,26,4,green,5
8,Sarmiento 641,09-12-19,10:16:05,6,22,6,green,8
9,San Martín 560,09-12-19,10:14:50,3,22,3,green,4
11,San Martín 658,09-12-19,10:14:38,20,30,20,green,26
12,Belgrano 480,09-12-19,10:14:52,7,25,11,green,27
13,General Pinto 343,09-12-19,10:15:04,7,33,7,green,14
14,Rodriguez 464,09-12-19,10:15:12,9,30,9,green,16
15,General Pinto 631,09-12-19,10:10:19,8,25,10,green,15
16,San Martín 852,09-12-19,10:14:57,11,32,11,green,16
17,Belgrano 660,09-12-19,10:15:32,11,23,13,green,27
19,Sarmiento 543,09-12-19,10:12:31,9,22,9,green,13
21,Belgrano 540,09-12-19,10:16:05,16,29,16,green,38
22,Belgrano 768,09-12-19,10:15:22,6,35,6,green,9
27,General Pinto 843,09-12-19,10:16:00,8,22,8,green,15
31,Sarmiento 351,09-12-19,10:14:00,6,18,6,green,7
32,Sarmiento 453,09-12-19,10:14:35,12,27,12,green,12
33,Sarmiento 755,09-12-19,10:15:22,10,32,10,green,17
34,Sarmiento 849,09-12-19,10:13:39,9,24,9,green,16
35,Sarmiento 945,09-12-19,10:14:37,6,18,7,green,15
36,Mitre 758,09-12-19,10:14:31,9,15,9,green,12
37,Mitre 846,09-12-19,10:15:50,3,20,4,green,16
38,Mitre 948,09-12-19,10:11:47,7,20,8,green,14
39,Chacabuco 442,09-12-19,10:16:03,9,25,9,green,25
45,Alem 480,09-12-19,10:15:59,9,29,9,green,19
48,Alem 770,09-12-19,10:14:45,9,17,9,green,16
51,Chacabuco 562,09-12-19,10:13:52,6,21,6,green,14
53,Chacabuco 752,09-12-19,10:15:39,8,21,8,green,10
55,14 de Julio 467,09-12-19,10:11:55,4,13,4,green,9
56,Yrigoyen 557,09-12-19,10:15:44,7,26,7,green,10
57,Yrigoyen 753,09-12-19,10:15:14,6,24,6,green,14
58,Yrigoyen 847,09-12-19,10:13:47,9,24,10,green,17
59,Yrigoyen 655,09-12-19,10:12:50,19,48,20,green,23
62,9 de Julio 753,09-12-19,10:15:55,6,21,7,green,18
63,9 de Julio 843,09-12-19,10:13:39,5,14,5,green,9
64,Rodriguez 348,09-12-19,10:15:57,9,17,9,green,13
67,14 de Julio 347,09-12-19,10:11:08,6,20,6,green,15
68,14 de Julio 557,09-12-19,10:15:30,2,14,3,green,6
69,14 de Julio 657,09-12-19,10:16:17,3,10,3,green,7
72,Maipu 453,09-12-19,10:13:32,6,33,6,green,8
74,Maipu 653,09-12-19,10:13:06,9,20,9,green,12
76,Maipu 741,09-12-19,10:13:56,10,24,10,green,18
79,General Paz 347,09-12-19,10:15:45,1,12,1,green,1
80,General Paz 447,09-12-19,10:14:08,15,36,15,green,20
81,General Paz 547,09-12-19,10:12:31,2,17,3,green,5
82,General Paz 647,09-12-19,10:15:03,6,34,6,green,19
83,General Paz 739,09-12-19,10:16:12,4,18,4,green,11
84,General Paz 845,09-12-19,10:14:58,4,18,4,green,5
89,Av. España 737,09-12-19,10:13:10,6,19,6,green,10
91,Av. España 957,09-12-19,10:10:08,2,13,3,green,3
99,Av. España 970,09-12-19,10:14:14,6,,6,green,11
2,General Pinto 545,09-12-19,10:20:33,12,27,12,green,20
3,San Martín 452,09-12-19,10:20:22,10,19,10,green,11
4,Rodriguez 552,09-12-19,10:20:05,17,28,17,green,26
5,9 de Julio 441,09-12-19,10:20:23,5,26,5,green,5
6,General Pinto 759,09-12-19,10:20:32,15,30,15,green,20
7,San Martín 758,09-12-19,10:20:25,5,28,5,green,13
9,San Martín 560,09-12-19,10:20:23,2,22,3,green,4
12,Belgrano 480,09-12-19,10:20:30,9,25,11,green,29
13,General Pinto 343,09-12-19,10:20:27,8,33,8,green,16
14,Rodriguez 464,09-12-19,10:20:10,8,30,9,green,17
16,San Martín 852,09-12-19,10:19:54,12,32,12,green,18
17,Belgrano 660,09-12-19,10:20:27,12,23,13,green,30
21,Belgrano 540,09-12-19,10:20:12,18,29,18,green,40
22,Belgrano 768,09-12-19,10:20:28,8,35,8,green,12
25,Belgrano 958,09-12-19,10:20:15,3,13,3,green,9
26,9 de Julio 345,09-12-19,10:20:29,9,20,10,green,14
28,General Pinto 945,09-12-19,10:20:25,4,12,4,green,4
30,San Martín 944,09-12-19,10:20:14,7,24,8,green,14
32,Sarmiento 453,09-12-19,10:20:32,13,27,13,green,13
33,Sarmiento 755,09-12-19,10:20:11,12,32,12,green,19
36,Mitre 758,09-12-19,10:20:27,8,15,9,green,12
37,Mitre 846,09-12-19,10:20:13,4,20,4,green,17
38,Mitre 948,09-12-19,10:20:29,6,20,8,green,15
39,Chacabuco 442,09-12-19,10:20:21,11,25,11,green,27
40,Mitre 348,09-12-19,10:20:32,0,22,1,green,3
41,Mitre 446,09-12-19,10:20:26,6,16,6,green,9
42,Mitre 552,09-12-19,10:20:17,8,19,8,green,15
44,Alem 362,09-12-19,10:20:09,11,26,11,green,21
45,Alem 480,09-12-19,10:20:14,7,29,9,green,23
46,Alem 556,09-12-19,10:20:16,9,24,9,green,18
47,Alem 658,09-12-19,10:20:21,8,18,8,green,15
51,Chacabuco 562,09-12-19,10:18:06,8,21,8,green,16
55,14 de Julio 467,09-12-19,10:20:30,5,13,5,green,12
57,Yrigoyen 753,09-12-19,10:17:24,7,24,7,green,15
58,Yrigoyen 847,09-12-19,10:20:12,11,24,11,green,19
59,Yrigoyen 655,09-12-19,10:20:08,18,48,20,green,26
62,9 de Julio 753,09-12-19,10:20:28,7,21,7,green,18
64,Rodriguez 348,09-12-19,10:20:32,10,17,10,green,15
72,Maipu 453,09-12-19,10:18:44,5,33,6,green,9
73,Maipu 547,09-12-19,10:20:23,7,21,7,green,9
74,Maipu 653,09-12-19,10:20:23,10,20,10,green,13
75,Maipu 333,09-12-19,10:18:57,12,31,12,green,22
76,Maipu 741,09-12-19,10:20:09,11,24,11,green,21
77,Maipu 857,09-12-19,10:17:16,1,15,1,green,1
80,General Paz 447,09-12-19,10:20:16,14,36,15,green,23
82,General Paz 647,09-12-19,10:20:09,7,34,7,green,20
83,General Paz 739,09-12-19,10:20:14,2,18,4,green,12
84,General Paz 845,09-12-19,10:20:24,5,18,5,green,5
87,Av. España 545,09-12-19,10:20:23,3,10,3,green,3
89,Av. España 737,09-12-19,10:20:27,7,19,7,green,11
90,Av. España 843,09-12-19,10:20:31,2,15,2,green,2
95,Av. España 526,09-12-19,10:20:23,2,,2,green,8
97,Av. España 774,09-12-19,10:20:28,4,,4,green,10
98,Av. España 864,09-12-19,10:20:18,2,,3,green,4
2,General Pinto 545,09-12-19,10:23:33,13,27,13,green,21
4,Rodriguez 552,09-12-19,10:23:56,18,28,18,green,29
6,General Pinto 759,09-12-19,10:21:44,13,30,15,green,22
7,San Martín 758,09-12-19,10:21:37,4,28,5,green,14
8,Sarmiento 641,09-12-19,10:22:51,7,22,7,green,9
11,San Martín 658,09-12-19,10:23:47,19,30,20,green,27
13,General Pinto 343,09-12-19,10:22:58,10,33,10,green,18
15,General Pinto 631,09-12-19,10:24:13,9,25,10,green,19
17,Belgrano 660,09-12-19,10:22:35,14,23,14,green,31
20,General Pinto 490,09-12-19,10:20:32,13,24,13,green,20
21,Belgrano 540,09-12-19,10:25:19,17,29,18,green,42
22,Belgrano 768,09-12-19,10:25:17,10,35,10,green,14
27,General Pinto 843,09-12-19,10:23:30,9,22,9,green,19
28,General Pinto 945,09-12-19,10:23:56,2,12,4,green,6
29,San Martín 364,09-12-19,10:23:10,6,19,6,green,10
30,San Martín 944,09-12-19,10:24:47,11,24,11,green,18
31,Sarmiento 351,09-12-19,10:25:02,7,18,7,green,11
32,Sarmiento 453,09-12-19,10:21:12,12,27,13,green,14
34,Sarmiento 849,09-12-19,10:22:41,10,24,10,green,17
35,Sarmiento 945,09-12-19,10:21:20,7,18,7,green,16
41,Mitre 446,09-12-19,10:22:24,5,16,6,green,10
43,Mitre 648,09-12-19,10:22:39,16,22,16,green,25
49,Alem 852,09-12-19,10:23:22,0,12,1,green,2
51,Chacabuco 562,09-12-19,10:24:22,9,21,9,green,17
52,Chacabuco 646,09-12-19,10:25:12,8,21,8,green,12
56,Yrigoyen 557,09-12-19,10:23:06,6,26,7,green,11
57,Yrigoyen 753,09-12-19,10:25:22,10,24,10,green,20
58,Yrigoyen 847,09-12-19,10:22:59,10,24,11,green,20
60,Fuerte Independencia 349,09-12-19,10:20:27,9,44,10,green,16
64,Rodriguez 348,09-12-19,10:23:44,9,17,10,green,17
67,14 de Julio 347,09-12-19,10:25:04,4,20,6,green,17
